x,y,z,cluster
56,88,56,35
72,88,56,35
88,88,56,9
56,104,56,35
72,104,56,35
88,104,56,35
88,120,56,9
56,56,72,41
72,56,72,20
88,56,72,20
24,72,72,49
40,72,72,17
56,72,72,15
72,72,72,7
88,72,72,8
104,72,72,0
24,88,72,35
40,88,72,40
56,88,72,30
72,88,72,6
88,88,72,6
104,88,72,16
120,88,72,23
40,104,72,5
56,104,72,43
72,104,72,15
88,104,72,25
104,104,72,31
120,104,72,28
40,120,72,13
56,120,72,16
72,120,72,44
88,120,72,25
104,120,72,16
120,120,72,23
40,136,72,5
56,136,72,18
72,136,72,18
88,136,72,25
104,136,72,44
56,152,72,9
72,152,72,29
88,152,72,6
104,152,72,17
72,168,72,17
88,168,72,17
40,40,88,37
56,40,88,20
72,40,88,20
88,40,88,20
24,56,88,41
40,56,88,22
56,56,88,45
72,56,88,24
88,56,88,34
104,56,88,19
8,72,88,38
24,72,88,42
40,72,88,42
56,72,88,34
72,72,88,22
88,72,88,24
104,72,88,48
120,72,88,38
8,88,88,3
24,88,88,36
40,88,88,2
56,88,88,6
72,88,88,0
88,88,88,12
104,88,88,7
120,88,88,44
40,104,88,21
56,104,88,25
72,104,88,10
88,104,88,34
104,104,88,43
120,104,88,44
40,120,88,29
56,120,88,10
72,120,88,36
88,120,88,25
104,120,88,43
120,120,88,29
40,136,88,45
56,136,88,40
72,136,88,2
88,136,88,7
104,136,88,34
120,136,88,40
56,152,88,29
72,152,88,10
88,152,88,45
104,152,88,34
120,152,88,5
72,168,88,45
88,168,88,7
104,168,88,22
72,184,88,28
88,184,88,17
104,184,88,23
40,40,104,13
56,40,104,27
72,40,104,12
88,40,104,19
104,40,104,39
24,56,104,24
40,56,104,34
56,56,104,19
72,56,104,0
88,56,104,22
104,56,104,12
120,56,104,13
8,72,104,39
24,72,104,8
40,72,104,43
56,72,104,22
72,72,104,45
88,72,104,17
104,72,104,12
120,72,104,16
8,88,104,39
24,88,104,8
40,88,104,15
56,88,104,10
72,88,104,46
88,88,104,19
104,88,104,32
120,88,104,31
136,88,104,28
40,104,104,17
56,104,104,40
72,104,104,16
88,104,104,0
104,104,104,43
120,104,104,1
136,104,104,28
40,120,104,26
56,120,104,0
72,120,104,42
88,120,104,22
104,120,104,25
120,120,104,31
56,136,104,29
72,136,104,34
88,136,104,0
104,136,104,10
120,136,104,34
56,152,104,29
72,152,104,8
88,152,104,19
104,152,104,36
120,152,104,40
56,168,104,26
72,168,104,16
88,168,104,34
104,168,104,10
120,168,104,28
72,184,104,13
88,184,104,16
104,184,104,21
40,40,120,23
56,40,120,10
72,40,120,0
88,40,120,0
104,40,120,26
24,56,120,4
40,56,120,18
56,56,120,18
72,56,120,0
88,56,120,0
104,56,120,47
120,56,120,21
24,72,120,47
40,72,120,6
56,72,120,18
72,72,120,11
88,72,120,10
104,72,120,31
120,72,120,18
8,88,120,26
24,88,120,4
40,88,120,4
56,88,120,33
72,88,120,11
88,88,120,10
104,88,120,31
120,88,120,47
136,88,120,5
24,104,120,5
40,104,120,30
56,104,120,2
72,104,120,18
88,104,120,46
104,104,120,31
120,104,120,47
136,104,120,5
40,120,120,9
56,120,120,29
72,120,120,47
88,120,120,46
104,120,120,6
120,120,120,44
136,120,120,23
56,136,120,33
72,136,120,33
88,136,120,33
104,136,120,31
120,136,120,4
56,152,120,11
72,152,120,4
88,152,120,46
104,152,120,47
120,152,120,11
56,168,120,29
72,168,120,31
88,168,120,47
104,168,120,18
120,168,120,21
72,184,120,4
88,184,120,18
104,184,120,21
40,40,136,5
56,40,136,32
72,40,136,43
88,40,136,44
104,40,136,9
24,56,136,45
40,56,136,22
56,56,136,8
72,56,136,36
88,56,136,6
104,56,136,10
120,56,136,28
8,72,136,39
24,72,136,36
40,72,136,43
56,72,136,10
72,72,136,0
88,72,136,36
104,72,136,25
120,72,136,18
8,88,136,39
24,88,136,8
40,88,136,25
56,88,136,10
72,88,136,18
88,88,136,40
104,88,136,15
120,88,136,47
136,88,136,23
40,104,136,17
56,104,136,10
72,104,136,15
88,104,136,40
104,104,136,2
120,104,136,16
136,104,136,5
40,120,136,28
56,120,136,0
72,120,136,42
88,120,136,22
104,120,136,2
120,120,136,44
40,136,136,3
56,136,136,29
72,136,136,7
88,136,136,22
104,136,136,2
120,136,136,10
56,152,136,29
72,152,136,36
88,152,136,8
104,152,136,6
120,152,136,29
56,168,136,26
72,168,136,16
88,168,136,2
104,168,136,10
120,168,136,23
72,184,136,40
88,184,136,1
104,184,136,21
40,40,152,23
56,40,152,1
72,40,152,41
88,40,152,28
24,56,152,41
40,56,152,45
56,56,152,32
72,56,152,14
88,56,152,15
104,56,152,29
8,72,152,38
24,72,152,32
40,72,152,6
56,72,152,16
72,72,152,36
88,72,152,25
104,72,152,47
120,72,152,23
8,88,152,37
24,88,152,24
40,88,152,6
56,88,152,16
72,88,152,16
88,88,152,34
104,88,152,16
120,88,152,11
40,104,152,5
56,104,152,2
72,104,152,10
88,104,152,34
104,104,152,34
120,104,152,18
40,120,152,29
56,120,152,10
72,120,152,36
88,120,152,25
104,120,152,15
120,120,152,11
40,136,152,13
56,136,152,40
72,136,152,16
88,136,152,25
104,136,152,6
120,136,152,11
56,152,152,21
72,152,152,10
88,152,152,16
104,152,152,31
120,152,152,23
72,168,152,44
88,168,152,16
104,168,152,17
88,184,152,28
56,56,168,41
72,56,168,41
88,56,168,9
24,72,168,49
40,72,168,13
56,72,168,36
72,72,168,6
88,72,168,44
104,72,168,21
24,88,168,49
40,88,168,17
56,88,168,25
72,88,168,2
88,88,168,6
104,88,168,18
40,104,168,23
56,104,168,2
72,104,168,10
88,104,168,6
104,104,168,18
40,120,168,5
56,120,168,36
72,120,168,18
88,120,168,6
104,120,168,44
40,136,168,3
56,136,168,4
72,136,168,11
88,136,168,31
104,136,168,21
72,152,168,17
88,152,168,44
104,152,168,28
72,168,168,9
88,168,168,9
